@relation MLDATA

@attribute CODE numeric
@attribute SMOKING numeric
@attribute OBESITY numeric
@attribute DRINKING numeric
@attribute LACK_FRUIT numeric
@attribute LACK_EXERCISE numeric
@attribute AGE65_OVER numeric
@attribute AGE25_44 numeric
@attribute EARLY_SCHOOL_LEAVERS numeric
@attribute LOW_INCOME_HOUSEHOLD numeric
@attribute HCC_HOLDER numeric
@attribute UNEMPLOYMENT numeric
@attribute RAC_PLACE numeric
@attribute CLIENTS_WITH_CARER numeric
@attribute TOTAL_CLIENTS numeric
@attribute DIABETES numeric
@attribute MENTAL_DISEASE numeric
@attribute PSYCHOLOGICAL_DISTRESS numeric
@attribute HYPERTENSION numeric
@attribute 'AIR_ POLLUTANTS' numeric
@attribute STROKE numeric

@data
72,10.691607,26.089396,12.151015,73.910604,65.582061,17.039447,29.568253,20.958552,36.150088,5.603073,7.724904,53.772523,26.03211,27.011805,4.956889,6.598558,8.764736,22.877055,0,0.724763
73,11.855565,32.34886,18.963989,67.65114,62.434501,17.612103,25.426044,26.200183,29.533785,3.38787,3.281726,19.957983,9.44206,27.573953,3.405926,6.541433,7.890776,21.574558,0,0.630206
74,7.093139,17.71758,9.137684,82.28242,64.432625,16.227829,27.664524,14.189361,34.754286,6.579554,4.965378,18.490755,14.529915,17.355875,4.833895,4.202311,8.393499,23.589742,0,0.629308
75,21.804292,46.148095,19.142138,53.851905,71.599742,24.827698,20.343793,44.457064,61.528525,10.523006,6.373181,75.497288,8.353222,42.924489,5.822441,12.025,13.477592,23.679196,4.774687,1.235311
76,18.580074,38.357602,20.602211,61.642398,73.576548,24.175017,18.390114,38.541233,62.136287,11.118354,6.137993,51.694179,11.686391,35.054083,3.831318,10.066135,12.781114,23.562814,1.095825,1.022204
77,5.671871,22.589456,9.313106,77.410544,62.49905,21.52189,19.903482,11.863775,25.202968,3.48841,5.256422,194.250349,21.161826,14.580384,4.401007,4.745083,7.457724,21.684512,0,0.612087
78,8.076502,27.559101,8.545925,72.440899,67.257086,12.641504,26.269534,16.364122,22.413163,4.706079,7.576455,136.241007,11.956522,21.736394,5.049459,4.726788,9.23475,23.710258,0,0.641338
79,8.138033,26.319271,12.784599,73.680729,61.891506,19.145574,22.886413,16.387512,26.2209,4.185576,6.712786,47.806291,10.694823,35.562015,3.961802,5.102124,7.413495,21.75669,0,0.6342
80,15.695551,35.031665,7.169263,64.968335,75.521595,10.209218,28.71725,28.08092,47.202138,9.925066,8.656569,53.322615,16.875,23.444085,7.577466,4.968044,15.560679,23.50253,0,1.072924
81,29.066695,46.637224,16.751789,53.362776,74.395362,18.734199,26.723411,45.559209,55.03434,9.015899,8.475776,179.726815,10.677382,33.706364,6.370833,14.29416,14.69636,24.190579,0.242684,1.372779
82,17.575692,38.236013,20.204458,61.763987,74.998753,17.364222,22.117801,41.646159,44.067135,6.397353,4.65992,0,11.538462,22.877329,4.493362,10.100743,11.153462,23.315391,0.610602,0.909232
83,14.343323,34.135361,20.562495,65.864639,57.138782,18.770382,26.662318,34.082373,41.144231,5.947061,5.525431,72.438601,8.92678,27.456002,4.463504,11.376653,11.896067,23.519466,0,0.945683
84,8.577336,16.299638,12.299123,83.700362,61.93294,13.883625,35.877546,9.65704,27.325773,3.628127,5.902655,88.785047,24.971363,19.186213,3.537004,5.32662,7.883067,22.720745,0,0.671135
85,15.381229,28.972103,8.102724,71.027897,76.242824,13.232975,26.905615,30.07365,57.262883,11.590044,15.088563,69.87116,20.40404,26.802099,6.491711,4.621767,16.983461,24.087749,8.404885,0.876065
86,16.27795,36.524647,18.360784,63.475353,65.72255,18.183949,24.474967,37.262695,41.091425,7.034145,4.841781,89.506173,7.531381,30.777942,4.795559,10.771676,11.413827,21.88283,1.702927,0.866501
87,16.717816,28.543339,8.274641,71.456661,76.126998,13.673806,26.249952,28.697303,57.637655,11.569548,11.799255,100.730792,19.296375,20.924136,7.062057,5.160354,16.857811,24.154167,1.389575,0.931948
88,17.28723,42.125691,12.199554,57.874309,73.723429,11.241356,28.525185,38.600427,40.265704,8.803139,8.07171,0,14.527027,26.335473,7.87519,8.207577,12.239959,22.093512,0,1.04419
89,25.240197,43.013344,23.702575,56.986656,74.426946,19.099899,23.413533,39.282807,48.225214,9.013543,4.613357,35.97944,3.409091,40.327314,5.500021,7.216744,11.137726,23.628565,16.167611,0.803381
90,12.346402,39.075308,13.949433,60.924692,64.709015,7.4101,38.233691,33.061356,28.238195,6.594042,5.485595,0,17.333333,27.67538,6.063454,5.812778,9.690562,24.193931,2.893947,0.990652
91,19.506658,36.912285,18.166361,63.087715,63.864625,24.031956,23.539011,35.364646,53.362974,10.566204,6.921576,125.679632,8.451472,40.909676,4.159918,11.854707,13.449763,23.749313,0.611472,1.051841
92,9.784643,23.924748,21.30323,76.075252,53.629891,20.775748,23.581901,21.348941,27.016836,2.919657,3.989402,173.473775,16.88512,28.075561,2.972396,7.256454,7.815223,22.710104,0,0.942377
93,21.418987,41.313589,25.443863,58.686411,74.206924,22.175808,21.95181,38.140189,53.390108,9.285444,3.451298,76.047024,6.928839,45.34364,5.435827,8.761796,9.9783,23.518444,0.265898,0.858904
94,9.953946,20.826629,20.407122,79.173371,51.725346,12.397476,38.387224,11.446705,22.451665,3.077854,4.542359,15.315652,12.953368,18.680191,2.320838,6.359755,7.488398,22.283848,0,0.572817
95,17.89887,41.312086,19.905509,58.687914,62.27215,22.278107,25.281065,33.505662,51.089767,6.769056,6.375735,97.816594,17.857143,41.926104,4.943753,11.055228,12.079957,23.263916,2.345265,0.810982
96,15.468842,36.986998,27.794317,63.013002,67.165243,16.394298,25.182545,26.991293,39.132852,5.65188,3.895059,11.137629,18.297872,23.149328,2.892409,7.529797,10.192003,23.024976,0,0.597389
97,21.803284,44.95968,25.316818,55.04032,74.381585,24.365751,20.369979,37.220526,58.07418,11.029877,5.366809,53.813038,9.903382,44.11719,4.36146,8.221622,10.923997,23.517197,1.877971,0.732174
98,18.23689,37.088908,21.09621,62.911092,74.201621,24.978456,20.776396,39.161827,55.029385,6.629864,3.019601,56.594949,11.398041,30.397146,5.03408,9.567889,9.74077,23.51942,0.534819,1.034219
99,17.852945,34.375829,20.809155,65.624171,70.49182,30.415338,18.203153,33.031358,54.182287,7.870573,5.670534,54.995802,10.887772,29.439565,4.391288,9.971575,10.322106,23.532209,23.111001,0.940658
100,18.073738,36.103806,17.218079,63.896194,62.160223,19.059808,26.245474,36.35654,48.11182,7.878788,7.585066,46.812305,17.97235,32.219618,4.9812,11.134102,12.768744,23.870882,0,1.076313
101,21.165279,43.009059,18.319815,56.990941,68.429817,25.563426,20.401374,42.198635,57.378885,8.843246,4.742639,106.755127,11.458333,44.885599,5.28294,11.824651,11.786815,23.578863,0.267801,0.821973
102,19.09802,38.763053,24.237071,61.236947,71.38432,25.602002,19.379058,39.434684,55.101328,7.053097,2.516717,48.321653,11.202186,47.916156,4.597537,9.081608,9.434424,23.391741,3.791456,0.872696
103,8.266577,19.033999,20.25573,80.966001,48.349135,18.565923,35.276631,7.959227,16.994863,2.586781,4.673638,44.875563,31.10119,15.853411,2.290838,6.75811,6.749775,21.926116,0,0.676677
104,14.5865,31.681207,20.746385,68.318793,58.423708,19.088982,26.82308,24.473261,24.624277,3.263065,3.145611,67.845198,9.735577,22.427581,2.659138,6.233754,7.74702,21.427909,8.478417,0.718333
105,9.666389,25.891469,18.973704,74.108531,57.515603,20.824009,24.005631,25.019954,32.004618,4.099846,3.980189,113.614341,10.18936,27.898332,3.732814,6.706827,7.983044,21.608374,0,0.820052
106,12.817568,35.741988,13.574948,64.258012,68.035376,7.675277,31.535623,39.663738,26.895843,5.305098,3.576538,0,9.627329,23.951787,5.852274,8.890968,10.121351,24.167075,1.488222,0.896232
107,19.285021,34.265733,16.320283,65.734267,66.198993,21.093171,24.429525,43.530497,49.801263,7.393828,7.022695,66.241022,17.149758,25.676359,6.100423,11.782993,13.721266,23.671179,1.871057,1.05588
108,18.176826,37.079076,19.160799,62.920924,67.626624,25.830364,19.814683,36.180491,51.514109,9.036985,7.586027,81.240768,19.626168,17.945921,4.675023,10.580387,11.330806,23.474183,0.007405,0.846383
109,16.26445,32.973473,23.494974,67.026527,67.820618,27.179861,19.379788,29.730418,52.27702,7.443763,4.121837,68.858801,7.56859,49.014583,3.966228,8.141269,10.556449,23.311087,0.103568,0.836168
110,8.410877,15.985565,21.417672,84.014435,46.501611,18.782446,33.644812,6.394574,16.329676,3.107204,4.007491,46.880214,10.260337,13.271721,2.253338,5.805899,6.726351,22.126461,0,0.631675
111,10.963722,37.042186,19.031734,62.957814,63.776639,14.998093,25.038139,40.685852,29.780733,4.138983,2.685676,56.307526,18.82716,20.175712,4.198173,7.486301,9.044956,23.053859,78.643801,0.904775
112,6.54065,13.795287,17.972513,86.204713,50.025219,18.486924,23.635345,7.069089,20.949407,2.874743,3.842034,69.378745,8.739837,17.611897,2.621948,4.765682,7.370908,22.000772,0,0.486476
113,19.708764,46.123153,16.103439,53.876847,68.099342,15.619839,27.440895,39.533059,43.672231,8.278317,4.71599,161.858191,4.918033,9.819314,5.79942,10.742553,11.035346,23.715198,1.378343,1.056989
114,15.926274,41.526951,16.512746,58.473049,65.366022,16.400141,29.99546,34.121776,42.368295,7.121434,3.576186,124.077491,8.554572,64.871286,5.43006,9.878763,10.182823,23.603694,0.361185,0.974115
115,15.727727,38.271298,26.016508,61.728702,72.214187,17.576163,21.42618,38.632246,40.844298,4.689403,1.554708,0,15.942029,12.182862,4.152818,8.260041,9.177482,23.420787,1.080537,0.962123
116,13.313956,26.082655,15.844081,73.917345,56.62174,14.204797,35.013607,16.525993,26.546769,4.705638,7.59008,128.727937,27.121001,24.426875,3.995555,10.569983,9.235599,22.445376,0,0.687191
117,16.253803,37.583285,21.030636,62.416715,71.932137,21.364829,21.12336,41.802287,46.699417,6.376812,4.045621,47.033285,5.913978,32.323313,4.313145,10.631765,10.38817,23.327503,0.091874,0.897927
